ORIGINAL,CONVERT
acute blood loss anemia,acute_blood_loss_anemia
anxiety,anxiety
aortic stenosis,aortic_stenosis
arthritis,arthritis
aspiration pneumonia,aspiration_pneumonia
asthma,asthma
atrial fibrillation,atrial_fibrillation
bacteremia,bacteremia
bradycardia,bradycardia
cellulitis,cellulitis
cholangitis,cholangitis
cirrhosis,cirrhosis
ckd,ckd
constipation,constipation
copd,copd
diabetes mellitus,diabetes_mellitus
dyslipidemia,dyslipidemia
glaucoma,glaucoma
gout,gout
heart failure,heart_failure
htn,htn
hypertension,hypertension
hypothyroidism,hypothyroidism
obesity,obesity
obstructive pulmonary,obstructive_pulmonary
pneumonia,pneumonia
pulmonary edema,pulmonary_edema
pulmonary embolism,pulmonary_embolism
pulmonary hypertension,pulmonary_hypertension
respiratory failure,respiratory_failure
sepsis,sepsis
sleep apnea,sleep_apnea
