ORIGINAL,CONVERT
acetaminophen,acetaminophen
albuterol sulfate,albuterol_sulfate
amiodarone,amiodarone
ascorbic acid,ascorbic_acid
aspirin,aspirin
atorvastatin,atorvastatin
b complex-vitamin c-folic acid,b_complex-vitamin_c-folic_acid
bisacodyl,bisacodyl
cholecalciferol ,cholecalciferol 
ciprofloxacin ,ciprofloxacin 
clopidogrel ,clopidogrel 
docusate sodium ,docusate_sodium
famotidine,famotidine
ferrous sulfate ,ferrous_sulfate
fluticasone,fluticasone
folic acid ,folic_acid
heparin,heparin
lidocaine,lidocaine
lisinopril ,lisinopril 
magnesium hydroxide,magnesium_hydroxide
metoprolol tartrate,metoprolol_tartrate
multivitamin,multivitamin
nystatin ,nystatin 
omeprazole,omeprazole
oxycodone-acetaminophen ,oxycodone-acetaminophen
pantoprazole,pantoprazole
potassium chloride,potassium_chloride
ranitidine hcl ,ranitidine_hcl
senna ,senna 
simvastatin ,simvastatin 
thiamine hcl ,thiamine_hcl
tiotropium bromide ,tiotropium_bromide
